Filename,ClassId
01921,22
00452,2
03648,12
03621,23
10448,11
06556,5
03597,12
02167,16
07433,13
11731,11
00366,7
05390,15
01659,14
01545,38
03586,18
09156,13
09748,38
06997,11
07153,2
06720,10
01245,28
00596,4
09472,1
02118,9
10517,15
06842,12
01943,10
02414,25
11732,10
07103,4
10662,26
03320,25
05285,12
04138,40
06761,35
07746,8
02858,13
10457,12
07978,34
11734,35
09187,1
10735,42
00343,2
03547,11
00675,0
12024,26
05173,13
05015,3
09029,5
02759,36
04591,26
10814,1
11695,18
06214,4
04093,1
03376,3
07017,4
08320,34
09937,42
00782,12
08065,16
00932,5
11974,8
07559,30
11921,38
07549,25
03204,13
05362,3
06201,12
09601,16
07478,12
12366,1
11577,5
08224,4
10875,36
04488,8
04863,15
10580,38
02574,2
11622,4
11517,5
10790,13
02240,1
00777,15
04964,14
03493,24
05465,34
00327,38
03995,13
06669,36
12239,10
06674,38
08273,7
00273,9
08717,13
11705,33
12217,25
10232,2
00415,10
06187,5
09870,3
00943,0
00115,3
11804,0
00328,8
02472,2
05259,38
11171,25
08111,12
09727,11
04121,7
01726,10
02883,2
04699,26
09762,25
02767,38
01120,31
05773,5
11451,30
01839,35
05699,4
02635,5
11362,24
08834,4
05886,35
04693,38
07299,7
00582,7
07152,12
07406,21
00786,2
12229,28
03443,12
10857,3
01384,7
10118,13
11610,7
08888,25
11570,15
07098,25
08451,4
07076,13
10551,1
00246,5
05321,2
10442,25
04453,25
11617,30
09665,25
05304,17
05315,38
01949,10
01053,34
00550,5
08948,7
04600,12
02823,12
10067,25
06972,6
04667,40
10032,4
00849,23
04845,38
05983,25
02362,5
01092,1
05573,7
11926,35
05718,33
11366,27
06993,5
00971,7
04643,19
07303,35
11985,7
11772,1
06748,13
05963,3
02548,9
07926,5
03073,10
12255,18
05945,0
12535,1
03611,4
01298,28
06973,1
00202,4
08355,31
10805,2
04487,4
09836,23
01462,42
02033,13
08981,38
03174,35
08535,12
01370,33
00335,6
03748,12
10444,4
00598,2
05645,5
06969,35
07960,2
06272,8
04203,16
03602,2
08586,14
10362,17
10480,18
05717,2
06904,12
09597,38
00699,2
03137,25
01900,10
06839,38
05418,15
12181,18
05141,12
02151,36
02293,10
00823,4
10119,20
01189,12
03040,13
02608,33
08137,3
00623,12
02104,2
11662,37
04320,7
08545,5
10559,31
06795,4
08247,13
11133,16
08261,1
03119,38
04116,5
00712,11
05395,7
03763,13
10167,35
09750,13
11488,9
12288,2
05766,39
04421,31
03658,10
08490,4
02015,38
04608,4
09257,12
10762,4
00670,15
10077,36
10180,5
01788,1
07506,6
01042,12
07436,8
06162,8
05692,12
09387,13
00964,10
02584,19
03880,28
09012,11
12491,3
09703,18
05171,38
06771,13
07909,34
03325,14
07584,3
08901,10
08232,1
05670,31
02229,17
03125,7
08117,4
05617,38
07115,30
00967,3
10407,25
04450,17
11256,17
07266,1
03710,17
10310,4
05727,42
10676,6
04306,15
08838,18
09625,18
02378,25
08544,39
05561,12
04692,11
11422,35
10424,2
06216,35
00173,25
01660,7
12080,1
01929,1
01104,23
08458,34
03931,9
09013,1
11722,31
00731,2
06631,1
04495,12
05825,12
00999,16
00248,12
